CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
CUST0022,196,3,50.93,6,6,5,17,Promising
CUST0096,242,3,95.009999999999991,4,4,9,17,Promising
CUST0173,215,4,52.510000000000005,5,7,5,17,Promising
CUST0195,196,4,52.35,5,7,5,17,Promising
CUST0181,176,4,34.24,7,7,3,17,Promising
CUST0047,306,4,90.01,2,6,8,16,Promising
CUST0137,194,4,34.400000000000006,6,7,3,16,Promising
CUST0199,241,4,41.640000000000008,4,8,4,16,Promising
CUST0218,207,3,59.46,5,5,6,16,Promising
CUST0038,243,4,44.35,4,8,4,16,Promising
CUST0125,184,3,41.379999999999995,6,6,4,16,Promising
CUST0287,213,4,40.15,5,7,4,16,Promising
CUST0246,161,3,37.870000000000005,7,5,4,16,Promising
CUST0113,166,3,36.65,7,5,4,16,Promising
CUST0278,128,2,27.89,10,3,3,16,Promising
CUST0010,212,4,35.17,5,7,4,16,Promising
CUST0095,147,3,31.410000000000004,8,5,3,16,Promising
CUST0046,361,4,65.58,2,7,7,16,Promising
CUST0165,306,4,85.339999999999989,2,6,8,16,Promising
CUST0128,215,3,53.66,5,5,5,15,Engaged
CUST0034,130,2,15.89,10,3,2,15,Engaged
CUST0066,195,2,56.19,6,3,6,15,Engaged
CUST0292,252,3,69.42,3,5,7,15,Engaged
CUST0041,380,4,63.980000000000004,1,7,7,15,Engaged
CUST0284,184,2,71.95,6,2,7,15,Engaged
CUST0087,333,4,57.609999999999992,2,7,6,15,Engaged
CUST0023,279,3,62.489999999999995,3,5,7,15,Engaged
CUST0274,227,3,71.960000000000008,4,4,7,15,Engaged
CUST0169,145,2,53.61,8,2,5,15,Engaged
CUST0275,154,2,27.740000000000002,8,4,3,15,Engaged
CUST0064,206,3,49.8,5,5,5,15,Engaged
CUST0222,189,4,30.69,6,6,3,15,Engaged
CUST0050,162,3,32.49,7,5,3,15,Engaged
CUST0020,280,4,52.31,3,7,5,15,Engaged
CUST0136,215,3,52.02,5,5,5,15,Engaged
CUST0085,173,2,41.95,7,4,4,15,Engaged
CUST0183,267,2,76.81,3,3,8,14,Engaged
CUST0164,288,4,52.290000000000006,3,6,5,14,Engaged
CUST0123,249,3,59.819999999999993,4,4,6,14,Engaged
CUST0115,286,3,52.66,3,6,5,14,Engaged
CUST0265,193,2,50.75,6,3,5,14,Engaged
CUST0075,322,3,60.87,2,6,6,14,Engaged
CUST0086,227,4,30.27,4,7,3,14,Engaged
CUST0193,320,4,58.099999999999994,2,6,6,14,Engaged
CUST0156,452,3,72.32,1,5,8,14,Engaged
CUST0126,137,2,20.42,9,3,2,14,Engaged
CUST0168,230,3,58.050000000000004,4,4,6,14,Engaged
CUST0219,192,2,47.76,6,3,5,14,Engaged
CUST0134,289,4,53.769999999999996,3,6,5,14,Engaged
CUST0263,276,3,57.67,3,5,6,14,Engaged
CUST0235,186,2,54.569999999999993,6,2,6,14,Engaged
CUST0228,253,4,37.58,3,7,4,14,Engaged
CUST0101,362,3,70.75,2,5,7,14,Engaged
CUST0174,226,2,55.1,4,4,6,14,Engaged
CUST0231,247,3,55.25,4,4,6,14,Engaged
CUST0268,400,3,80.47,1,4,8,13,Engaged
CUST0206,371,3,63.080000000000005,1,5,7,13,Engaged
CUST0072,380,5,41.33,1,8,4,13,Engaged
CUST0297,193,2,41.12,6,3,4,13,Engaged
CUST0200,193,2,45.68,6,3,4,13,Engaged
CUST0052,235,2,52.57,4,4,5,13,Engaged
CUST0044,137,2,10.379999999999999,9,3,1,13,Engaged
CUST0241,222,3,51.7,4,4,5,13,Engaged
CUST0019,253,3,50.73,3,5,5,13,Engaged
CUST0100,154,2,18.39,8,3,2,13,Engaged
CUST0204,158,3,20.82,7,4,2,13,Engaged
CUST0266,280,4,37.730000000000004,3,6,4,13,Engaged
CUST0299,193,2,36.3,6,3,4,13,Engaged
CUST0088,144,2,21.91,9,2,2,13,Engaged
CUST0103,152,2,22.2,8,3,2,13,Engaged
CUST0171,265,3,37.59,3,5,4,12,Engaged
CUST0254,144,2,21.060000000000002,8,2,2,12,Engaged
CUST0122,243,3,45.870000000000005,4,4,4,12,Engaged
CUST0079,211,2,38.49,5,3,4,12,Engaged
CUST0225,288,3,24.72,3,6,3,12,Engaged
CUST0127,155,2,23.58,7,3,2,12,Engaged
CUST0142,198,2,40.78,5,3,4,12,Engaged
CUST0221,160,2,30.95,7,2,3,12,Engaged
CUST0013,196,2,30.9,5,4,3,12,Engaged
CUST0182,296,3,33.46,3,6,3,12,Engaged
CUST0209,333,3,41.0,2,6,4,12,Engaged
CUST0290,420,2,69.789999999999992,1,4,7,12,Engaged
CUST0058,323,2,83.66,2,2,8,12,Engaged
CUST0185,201,2,32.3,5,3,3,11,Requires Attention
CUST0107,314,3,29.130000000000003,2,6,3,11,Requires Attention
CUST0249,289,2,49.29,3,3,5,11,Requires Attention
CUST0129,333,3,46.099999999999994,2,5,4,11,Requires Attention
CUST0110,279,2,52.1,3,3,5,11,Requires Attention
CUST0232,150,2,9.9400000000000013,8,2,1,11,Requires Attention
CUST0192,234,3,33.650000000000006,4,4,3,11,Requires Attention
CUST0273,380,3,55.45,1,4,6,11,Requires Attention
CUST0217,272,3,33.95,3,5,3,11,Requires Attention
CUST0259,435,2,59.36,1,4,6,11,Requires Attention
CUST0065,174,2,23.78,7,2,2,11,Requires Attention
CUST0105,182,2,19.49,6,2,2,10,Requires Attention
CUST0180,152,1,12.12,8,1,1,10,Requires Attention
CUST0286,208,2,15.41,5,3,2,10,Requires Attention
CUST0109,151,1,8.01,8,1,1,10,Requires Attention
CUST0207,212,2,22.57,5,3,2,10,Requires Attention
CUST0211,183,2,21.21,6,2,2,10,Requires Attention
CUST0281,385,3,47.22,1,4,5,10,Requires Attention
CUST0276,402,2,48.74,1,4,5,10,Requires Attention
CUST0298,235,2,28.03,4,2,3,9,Requires Attention
CUST0247,248,2,11.96,4,4,1,9,Requires Attention
CUST0053,207,2,13.86,5,3,1,9,Requires Attention
CUST0279,160,1,5.19,7,1,1,9,Requires Attention
CUST0300,302,2,48.06,2,2,5,9,Requires Attention
CUST0238,356,1,34.88,2,2,4,8,Requires Attention
CUST0163,402,3,29.840000000000003,1,4,3,8,Requires Attention
CUST0068,335,2,40.29,2,2,4,8,Requires Attention
CUST0045,268,2,23.240000000000002,3,3,2,8,Requires Attention
CUST0121,304,2,44.730000000000004,2,2,4,8,Requires Attention
CUST0234,276,2,22.16,3,3,2,8,Requires Attention
CUST0144,271,2,16.04,3,3,2,8,Requires Attention
CUST0024,261,2,16.66,3,3,2,8,Requires Attention
CUST0272,183,1,4.37,6,1,1,8,Requires Attention
CUST0155,300,2,33.09,2,2,3,7,At Risk
CUST0056,213,1,10.48,5,1,1,7,At Risk
CUST0191,251,1,16.14,4,1,2,7,At Risk
CUST0033,214,1,5.71,5,1,1,7,At Risk
CUST0054,281,2,14.21,3,3,1,7,At Risk
CUST0016,363,2,39.26,1,2,4,7,At Risk
CUST0071,203,1,13.79,5,1,1,7,At Risk
CUST0240,205,1,12.43,5,1,1,7,At Risk
CUST0190,359,1,33.44,2,2,3,7,At Risk
CUST0260,274,1,33.6,3,1,3,7,At Risk
CUST0187,315,2,33.97,2,2,3,7,At Risk
CUST0194,410,2,19.810000000000002,1,4,2,7,At Risk
CUST0097,362,2,32.73,1,2,3,6,At Risk
CUST0186,388,2,17.36,1,3,2,6,At Risk
CUST0244,374,2,33.430000000000007,1,2,3,6,At Risk
CUST0151,350,2,21.74,2,2,2,6,At Risk
CUST0283,226,1,5.6,4,1,1,6,At Risk
CUST0196,336,2,23.36,2,2,2,6,At Risk
CUST0057,297,1,24.63,3,1,2,6,At Risk
CUST0162,320,2,14.67,2,2,2,6,At Risk
CUST0032,322,1,14.27,2,2,2,6,At Risk
CUST0124,373,2,27.5,1,2,3,6,At Risk
CUST0256,294,1,4.12,3,1,1,5,At Risk
CUST0280,383,2,11.09,1,3,1,5,At Risk
CUST0140,395,1,27.37,1,1,3,5,At Risk
CUST0184,340,2,9.69,2,2,1,5,At Risk
CUST0018,320,1,22.09,2,1,2,5,At Risk
CUST0074,363,2,20.810000000000002,1,2,2,5,At Risk
CUST0112,298,1,11.81,2,1,1,4,At Risk
CUST0138,364,1,15.44,1,1,2,4,At Risk
CUST0205,311,1,5.19,2,1,1,4,At Risk
CUST0189,445,1,17.08,1,1,2,4,At Risk
CUST0028,302,1,4.86,2,1,1,4,At Risk
CUST0116,320,1,4.38,2,1,1,4,At Risk
CUST0197,313,1,4.26,2,1,1,4,At Risk
CUST0094,422,1,11.82,1,1,1,3,Lost/Inactive
CUST0167,435,1,10.17,1,1,1,3,Lost/Inactive
CUST0043,408,1,12.17,1,1,1,3,Lost/Inactive
CUST0031,460,1,9.42,1,1,1,3,Lost/Inactive
CUST0203,444,1,8.8,1,1,1,3,Lost/Inactive
CUST0258,439,1,12.22,1,1,1,3,Lost/Inactive
CUST0255,440,1,11.89,1,1,1,3,Lost/Inactive
